id,sort,dc_title,dc_description,dc_creator,iiif_service
24489960-400b-4d5c-ba83-3346785d7cf3,50,"Digest of the System of Civil Government; Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2284/info.json
bc9af390-9c0b-4946-95ba-34f7285dd537,51,"Digest of the System of Civil Government; Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2285/info.json
2fbbb7ca-6d14-4d6e-b849-057de1d7a09e,52,"Digest of the System of Civil Government; Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2286/info.json
fe3e39fe-3d82-4c18-92e3-c400636dc257,53,"General Information on Banking and Business Methods; Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2287/info.json
0977007f-030a-439c-a449-6d6e04bd070f,54,"General Information on Banking and Business Methods; Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2288/info.json
2fdd10f7-1ec5-472b-91c8-1fb91d43b06d,55,"Ancient, Medieval and Modern History; Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2289/info.json
d63913ca-b6bf-47df-957f-b3ae21a8c699,56,"Ancient, Medieval and Modern History; Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2290/info.json
0aef895e-60d1-4b5e-9135-30d4290a0f8b,57,"Ancient, Medieval and Modern History; Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2291/info.json
759ae8c9-fb4b-4a72-83fd-006183372be6,58,"Ancient, Medieval and Modern History; Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2292/info.json
6b3f4e0b-2001-4e14-82eb-cc6c39bf73c9,59,"Ancient, Medieval and Modern History; Standard atlas of Nobles County, Minnesota, 1914",,Geo. A. Ogle & Co.,https://cdm16022.contentdm.oclc.org/digital/iiif/p16022coll231/2293/info.json
